Release 8.1i - Fit P.20131013
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 4-22-2024 12:49PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  controller.ngd
output file: controller_pad.csv
Part type:   xc9536
Speed grade: -5
Package:     pc44

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,R<2>,I/O,I/O,BIDIR,,,,,,,,,
P2,TIE,,I/O,,,,,,,,,,
P3,R<8>,I/O,I/O,BIDIR,,,,,,,,,
P4,TIE,,I/O,,,,,,,,,,
P5,CLK,GCK,I/O/GCK1,,,,,,,,,,
P6,TIE,,I/O/GCK2,,,,,,,,,,
P7,TIE,,I/O/GCK3,,,,,,,,,,
P8,M<2>,I,I/O,INPUT,,,,,,,,,
P9,R<7>,I/O,I/O,BIDIR,,,,,,,,,
P10,GND,,GND,,,,,,,,,,
P11,M<1>,I,I/O,INPUT,,,,,,,,,
P12,M<3>,I,I/O,INPUT,,,,,,,,,
P13,N<3>,I,I/O,INPUT,,,,,,,,,
P14,N<4>,I,I/O,INPUT,,,,,,,,,
P15,TDI,,TDI,,,,,,,,,,
P16,TMS,,TMS,,,,,,,,,,
P17,TCK,,TCK,,,,,,,,,,
P18,TIE,,I/O,,,,,,,,,,
P19,R<6>,I/O,I/O,BIDIR,,,,,,,,,
P20,TIE,,I/O,,,,,,,,,,
P21,VCC,,VCCINT,,,,,,,,,,
P22,TIE,,I/O,,,,,,,,,,
P23,GND,,GND,,,,,,,,,,
P24,TIE,,I/O,,,,,,,,,,
P25,TIE,,I/O,,,,,,,,,,
P26,TIE,,I/O,,,,,,,,,,
P27,R<1>,I/O,I/O,BIDIR,,,,,,,,,
P28,TIE,,I/O,,,,,,,,,,
P29,N<1>,I,I/O,INPUT,,,,,,,,,
P30,TDO,,TDO,,,,,,,,,,
P31,GND,,GND,,,,,,,,,,
P32,VCC,,VCCIO,,,,,,,,,,
P33,DONE,O,I/O,OUTPUT,,,,,,,,,
P34,N<2>,I,I/O,INPUT,,,,,,,,,
P35,R<5>,I/O,I/O,BIDIR,,,,,,,,,
P36,M<4>,I,I/O,INPUT,,,,,,,,,
P37,ST,I,I/O,INPUT,,,,,,,,,
P38,R<4>,I/O,I/O,BIDIR,,,,,,,,,
P39,TIE,,I/O/GSR,,,,,,,,,,
P40,TIE,,I/O/GTS2,,,,,,,,,,
P41,VCC,,VCCINT,,,,,,,,,,
P42,TIE,,I/O/GTS1,,,,,,,,,,
P43,R<3>,I/O,I/O,BIDIR,,,,,,,,,
P44,TIE,,I/O,,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


